airline,source,destination,route,total_stops,price,duration_minutes,dep_hours,departure_bucket,month,day_type,route_segment,price_per_hour,rev_opportunity_score
SpiceJet,Delhi,Cochin,Delhi → Cochin,1,5830,270,8,Morning,4,Weekday,Optimization Route,1295.5555555555557,21.59259259259259
Jet Airways,Delhi,Cochin,Delhi → Cochin,1,10262,1355,14,Afternoon,6,Weekday,Optimization Route,454.4059040590406,7.573431734317343
Air India,Delhi,Cochin,Delhi → Cochin,2,13381,1380,20,Evening,6,Weekday,Optimization Route,581.7826086956521,9.696376811594202
Jet Airways,Delhi,Cochin,Delhi → Cochin,1,12898,1235,16,Afternoon,5,Weekday,Optimization Route,626.6234817813765,10.443724696356275
GoAir,Delhi,Cochin,Delhi → Cochin,1,19495,310,14,Afternoon,3,Weekday,Premium Route,3773.2258064516127,62.88709677419355
Air India,Banglore,New Delhi,Banglore → New Delhi,1,6955,920,22,Night,3,Weekday,Optimization Route,453.5869565217391,7.559782608695652
IndiGo,Banglore,Delhi,Banglore → Delhi,0,3943,170,4,Night,4,Weekday,Optimization Route,1391.6470588235295,23.194117647058825
IndiGo,Banglore,Delhi,Banglore → Delhi,0,4823,175,18,Evening,5,Weekday,Optimization Route,1653.6,27.56
Jet Airways,Kolkata,Banglore,Kolkata → Banglore,1,7757,800,18,Evening,5,Weekday,Optimization Route,581.775,9.69625
Jet Airways,Delhi,Cochin,Delhi → Cochin,2,13292,910,21,Night,6,Weekend,Optimization Route,876.3956043956044,14.606593406593406
IndiGo,Delhi,Cochin,Delhi → Cochin,1,8238,345,21,Night,6,Weekend,Optimization Route,1432.695652173913,23.878260869565217
GoAir,Delhi,Cochin,Delhi → Cochin,1,7682,355,7,Morning,5,Weekday,Optimization Route,1298.3661971830986,21.63943661971831
Vistara,Banglore,Delhi,Banglore → Delhi,0,4668,170,9,Morning,6,Weekday,Optimization Route,1647.5294117647059,27.458823529411763
Vistara,Chennai,Kolkata,Chennai → Kolkata,0,3687,135,7,Morning,6,Weekend,Optimization Route,1638.6666666666667,27.31111111111111
Vistara,Chennai,Kolkata,Chennai → Kolkata,0,3687,135,7,Morning,6,Weekday,Optimization Route,1638.6666666666667,27.31111111111111
Air India,Kolkata,Banglore,Kolkata → Banglore,2,13227,805,9,Morning,5,Weekday,Optimization Route,985.8633540372671,16.431055900621118
IndiGo,Banglore,Delhi,Banglore → Delhi,0,4423,170,4,Night,4,Weekend,Optimization Route,1561.0588235294117,26.01764705882353
Jet Airways,Delhi,Cochin,Delhi → Cochin,2,10919,1320,14,Afternoon,6,Weekend,Optimization Route,496.3181818181818,8.271969696969697
Jet Airways,Delhi,Cochin,Delhi → Cochin,1,12373,330,7,Morning,5,Weekend,Premium Route,2249.6363636363635,37.49393939393939
IndiGo,Delhi,Cochin,Delhi → Cochin,1,5894,625,10,Morning,6,Weekday,Optimization Route,565.824,9.4304
SpiceJet,Kolkata,Banglore,Kolkata → Banglore,1,4649,315,15,Afternoon,5,Weekday,Optimization Route,885.5238095238095,14.75873015873016
Air India,Kolkata,Banglore,Kolkata → Banglore,0,6245,150,14,Afternoon,5,Weekend,Optimization Route,2498.0,41.63333333333333
Jet Airways,Banglore,New Delhi,Banglore → New Delhi,1,19225,375,7,Morning,3,Weekday,Premium Route,3076.0,51.266666666666666
Jet Airways,Delhi,Cochin,Delhi → Cochin,1,14924,715,7,Morning,6,Weekday,Optimization Route,1252.3636363636363,20.87272727272727
Multiple carriers,Delhi,Cochin,Delhi → Cochin,1,9646,665,7,Morning,5,Weekday,Optimization Route,870.3157894736842,14.505263157894737
Air India,Banglore,New Delhi,Banglore → New Delhi,1,8714,510,6,Morning,3,Weekday,Optimization Route,1025.1764705882354,17.08627450980392
Jet Airways,Delhi,Cochin,Delhi → Cochin,1,12373,1325,20,Evening,5,Weekend,Optimization Route,560.2867924528302,9.33811320754717
Air Asia,Banglore,Delhi,Banglore → Delhi,0,3383,165,11,Morning,5,Weekday,Optimization Route,1230.1818181818182,20.503030303030304
Multiple carriers,Delhi,Cochin,Delhi → Cochin,1,13062,720,9,Morning,3,Weekday,Optimization Route,1088.5,18.141666666666666
SpiceJet,Banglore,New Delhi,Banglore → New Delhi,0,3527,170,5,Morning,3,Weekend,Optimization Route,1244.8235294117646,20.74705882352941
IndiGo,Banglore,Delhi,Banglore → Delhi,0,3943,170,4,Night,5,Weekday,Optimization Route,1391.6470588235295,23.194117647058825
Air India,Chennai,Kolkata,Chennai → Kolkata,0,4667,135,11,Morning,5,Weekday,Optimization Route,2074.222222222222,34.57037037037037
Air India,Kolkata,Banglore,Kolkata → Banglore,1,6117,965,19,Evening,5,Weekday,Optimization Route,380.3316062176166,6.338860103626943
Jet Airways,Delhi,Cochin,Delhi → Cochin,2,11150,1195,23,Night,6,Weekday,Optimization Route,559.8326359832636,9.330543933054393
Jet Airways,Delhi,Cochin,Delhi → Cochin,0,7202,195,11,Morning,3,Weekend,Optimization Route,2216.0,36.93333333333333
Jet Airways,Kolkata,Banglore,Kolkata → Banglore,1,12121,1520,9,Morning,5,Weekday,Optimization Route,478.4605263157895,7.974342105263158
IndiGo,Banglore,New Delhi,Banglore → New Delhi,0,4377,170,22,Night,3,Weekend,Optimization Route,1544.8235294117646,25.74705882352941
IndiGo,Banglore,Delhi,Banglore → Delhi,0,3943,180,21,Night,6,Weekday,Optimization Route,1314.3333333333333,21.905555555555555
Air Asia,Banglore,Delhi,Banglore → Delhi,0,4483,170,23,Night,4,Weekday,Optimization Route,1582.235294117647,26.370588235294118
Jet Airways,Kolkata,Banglore,Kolkata → Banglore,1,14231,975,19,Evening,3,Weekend,Optimization Route,875.7538461538461,14.595897435897436
Air India,Banglore,New Delhi,Banglore → New Delhi,2,17345,905,8,Morning,3,Weekday,Optimization Route,1149.9447513812154,19.165745856353592
Vistara,Chennai,Kolkata,Chennai → Kolkata,0,7414,135,7,Morning,3,Weekday,Optimization Route,3295.1111111111113,54.91851851851852
Multiple carriers,Delhi,Cochin,Delhi → Cochin,1,8073,390,19,Evening,5,Weekday,Optimization Route,1242.0,20.7
Vistara,Mumbai,Hyderabad,Mumbai → Hyderabad,1,12395,1505,15,Afternoon,3,Weekday,Optimization Route,494.1528239202658,8.235880398671096
Air India,Kolkata,Banglore,Kolkata → Banglore,1,8366,745,9,Morning,6,Weekday,Optimization Route,673.771812080537,11.229530201342282
Air India,Delhi,Cochin,Delhi → Cochin,1,5117,1640,6,Morning,4,Weekday,Discount Route,187.20731707317074,3.120121951219512
Multiple carriers,Delhi,Cochin,Delhi → Cochin,1,12524,615,8,Morning,6,Weekday,Optimization Route,1221.8536585365853,20.364227642276422
IndiGo,Delhi,Cochin,Delhi → Cochin,1,7191,630,15,Afternoon,5,Weekday,Optimization Route,684.8571428571429,11.414285714285715
Vistara,Chennai,Kolkata,Chennai → Kolkata,0,3687,135,7,Morning,5,Weekday,Optimization Route,1638.6666666666667,27.31111111111111
IndiGo,Delhi,Cochin,Delhi → Cochin,1,5894,625,10,Morning,6,Weekday,Optimization Route,565.824,9.4304
Vistara,Banglore,Delhi,Banglore → Delhi,0,5403,170,9,Morning,4,Weekday,Optimization Route,1906.9411764705883,31.78235294117647
Air India,Mumbai,Hyderabad,Mumbai → Hyderabad,0,3625,90,13,Afternoon,5,Weekday,Optimization Route,2416.6666666666665,40.27777777777778
Air India,Delhi,Cochin,Delhi → Cochin,2,10861,800,5,Morning,5,Weekday,Optimization Route,814.575,13.57625
IndiGo,Chennai,Kolkata,Chennai → Kolkata,0,6297,135,13,Afternoon,3,Weekday,Optimization Route,2798.6666666666665,46.644444444444446
Jet Airways,Mumbai,Hyderabad,Mumbai → Hyderabad,0,5678,85,7,Morning,6,Weekend,Optimization Route,4008.0,66.8
Jet Airways,Banglore,New Delhi,Banglore → New Delhi,1,9134,1590,5,Morning,3,Weekend,Optimization Route,344.6792452830189,5.744654088050314
Multiple carriers,Delhi,Cochin,Delhi → Cochin,1,10791,440,11,Morning,6,Weekday,Optimization Route,1471.5,24.525
Jet Airways,Delhi,Cochin,Delhi → Cochin,2,12819,810,23,Night,6,Weekday,Optimization Route,949.5555555555555,15.825925925925926
IndiGo,Delhi,Cochin,Delhi → Cochin,1,6893,300,5,Morning,3,Weekday,Optimization Route,1378.6,22.976666666666667
Vistara,Banglore,New Delhi,Banglore → New Delhi,0,7240,165,9,Morning,3,Weekend,Optimization Route,2632.7272727272725,43.878787878787875
GoAir,Banglore,Delhi,Banglore → Delhi,0,3898,170,11,Morning,4,Weekday,Optimization Route,1375.764705882353,22.929411764705883
IndiGo,Mumbai,Hyderabad,Mumbai → Hyderabad,0,4049,90,6,Morning,4,Weekday,Optimization Route,2699.3333333333335,44.98888888888889
Jet Airways,Delhi,Cochin,Delhi → Cochin,1,10262,1145,17,Evening,6,Weekend,Optimization Route,537.7467248908297,8.962445414847162
SpiceJet,Chennai,Kolkata,Chennai → Kolkata,0,3332,135,8,Morning,3,Weekday,Optimization Route,1480.888888888889,24.68148148148148
Jet Airways,Kolkata,Banglore,Kolkata → Banglore,1,10844,890,21,Night,6,Weekend,Optimization Route,731.056179775281,12.184269662921348
Jet Airways,Banglore,New Delhi,Banglore → New Delhi,0,7229,160,19,Evening,3,Weekend,Optimization Route,2710.875,45.18125
Jet Airways,Kolkata,Banglore,Kolkata → Banglore,1,13941,1330,6,Morning,5,Weekday,Optimization Route,628.9172932330827,10.481954887218045
IndiGo,Delhi,Cochin,Delhi → Cochin,1,5894,575,11,Morning,6,Weekday,Optimization Route,615.0260869565218,10.250434782608696
Multiple carriers,Delhi,Cochin,Delhi → Cochin,1,10197,600,9,Morning,5,Weekend,Optimization Route,1019.7,16.995
Jet Airways,Banglore,New Delhi,Banglore → New Delhi,1,13712,1280,14,Afternoon,3,Weekday,Optimization Route,642.75,10.7125
IndiGo,Delhi,Cochin,Delhi → Cochin,1,5636,325,2,Night,6,Weekday,Optimization Route,1040.4923076923076,17.341538461538462
Jet Airways,Delhi,Cochin,Delhi → Cochin,2,13014,1125,9,Morning,6,Weekday,Optimization Route,694.08,11.568
Jet Airways,Kolkata,Banglore,Kolkata → Banglore,1,7064,740,8,Morning,4,Weekday,Optimization Route,572.7567567567568,9.545945945945945
Jet Airways,Kolkata,Banglore,Kolkata → Banglore,1,10703,1080,20,Evening,5,Weekday,Optimization Route,594.6111111111111,9.910185185185185
Multiple carriers,Delhi,Cochin,Delhi → Cochin,1,9646,555,13,Afternoon,5,Weekday,Optimization Route,1042.8108108108108,17.38018018018018
Multiple carriers,Delhi,Cochin,Delhi → Cochin,1,17057,665,2,Night,3,Weekday,Optimization Route,1538.9774436090227,25.649624060150376
Jet Airways,Banglore,New Delhi,Banglore → New Delhi,1,13817,1050,16,Afternoon,3,Weekday,Optimization Route,789.5428571428571,13.15904761904762
Air India,Delhi,Cochin,Delhi → Cochin,2,13748,800,5,Morning,3,Weekday,Optimization Route,1031.1,17.185
Air India,Kolkata,Banglore,Kolkata → Banglore,0,4880,155,20,Evening,4,Weekend,Optimization Route,1889.032258064516,31.483870967741936
IndiGo,Chennai,Kolkata,Chennai → Kolkata,0,3540,145,5,Morning,6,Weekday,Optimization Route,1464.8275862068965,24.413793103448278
SpiceJet,Banglore,Delhi,Banglore → Delhi,0,3257,160,5,Morning,5,Weekday,Optimization Route,1221.375,20.35625
Jet Airways,Banglore,Delhi,Banglore → Delhi,0,6478,180,19,Evening,6,Weekday,Optimization Route,2159.3333333333335,35.98888888888889
Jet Airways,Mumbai,Hyderabad,Mumbai → Hyderabad,0,8040,85,7,Morning,6,Weekday,Optimization Route,5675.294117647059,94.58823529411765
Jet Airways,Delhi,Cochin,Delhi → Cochin,2,14300,995,20,Evening,6,Weekday,Optimization Route,862.3115577889447,14.371859296482413
Jet Airways,Kolkata,Banglore,Kolkata → Banglore,1,14781,740,8,Morning,5,Weekday,Optimization Route,1198.4594594594594,19.974324324324325
Jet Airways,Kolkata,Banglore,Kolkata → Banglore,1,14939,735,20,Evening,6,Weekend,Optimization Route,1219.5102040816328,20.325170068027212
Jet Airways,Delhi,Cochin,Delhi → Cochin,1,10262,450,20,Evening,6,Weekday,Optimization Route,1368.2666666666667,22.804444444444446
Air India,Kolkata,Banglore,Kolkata → Banglore,1,6528,1440,14,Afternoon,5,Weekend,Optimization Route,272.0,4.533333333333333
Air India,Banglore,Delhi,Banglore → Delhi,0,6121,165,6,Morning,5,Weekday,Optimization Route,2225.818181818182,37.096969696969694
Jet Airways,Delhi,Cochin,Delhi → Cochin,2,13029,535,19,Evening,5,Weekend,Optimization Route,1461.196261682243,24.353271028037383
Multiple carriers,Delhi,Cochin,Delhi → Cochin,1,11421,430,11,Morning,3,Weekday,Optimization Route,1593.6279069767443,26.56046511627907
Multiple carriers,Delhi,Cochin,Delhi → Cochin,1,7574,870,4,Night,3,Weekday,Optimization Route,522.3448275862069,8.705747126436782
Air India,Delhi,Cochin,Delhi → Cochin,2,11596,1820,12,Afternoon,5,Weekday,Optimization Route,382.2857142857143,6.371428571428571
Jet Airways,Delhi,Cochin,Delhi → Cochin,2,15129,1195,23,Night,5,Weekday,Optimization Route,759.6150627615062,12.660251046025104
Jet Airways,Banglore,New Delhi,Banglore → New Delhi,1,13555,900,14,Afternoon,3,Weekday,Optimization Route,903.6666666666666,15.061111111111112
IndiGo,Banglore,Delhi,Banglore → Delhi,0,5780,175,18,Evening,4,Weekday,Optimization Route,1981.7142857142858,33.02857142857143
Vistara,Kolkata,Banglore,Kolkata → Banglore,1,9397,765,20,Evening,5,Weekend,Optimization Route,737.0196078431372,12.283660130718955
Jet Airways,Delhi,Cochin,Delhi → Cochin,1,17024,610,18,Evening,3,Weekday,Optimization Route,1674.4918032786886,27.908196721311477
GoAir,Delhi,Cochin,Delhi → Cochin,1,5281,355,7,Morning,6,Weekday,Optimization Route,892.5633802816901,14.87605633802817
Multiple carriers,Delhi,Cochin,Delhi → Cochin,1,10348,925,7,Morning,5,Weekend,Optimization Route,671.2216216216216,11.187027027027026
Air India,Delhi,Cochin,Delhi → Cochin,1,12677,965,17,Evening,3,Weekday,Optimization Route,788.2072538860103,13.13678756476684
Multiple carriers,Delhi,Cochin,Delhi → Cochin,1,15147,610,15,Afternoon,3,Weekend,Optimization Route,1489.8688524590164,24.831147540983608
Vistara,Banglore,Delhi,Banglore → Delhi,0,4668,160,7,Morning,6,Weekday,Optimization Route,1750.5,29.175
Jet Airways,Delhi,Cochin,Delhi → Cochin,1,15554,715,7,Morning,5,Weekday,Optimization Route,1305.2307692307693,21.753846153846155
SpiceJet,Banglore,Delhi,Banglore → Delhi,0,3971,160,5,Morning,4,Weekday,Optimization Route,1489.125,24.81875
Air India,Mumbai,Hyderabad,Mumbai → Hyderabad,0,3100,85,15,Afternoon,5,Weekday,Optimization Route,2188.235294117647,36.470588235294116
Jet Airways,Kolkata,Banglore,Kolkata → Banglore,1,9663,845,20,Evening,5,Weekday,Optimization Route,686.1301775147929,11.435502958579882
Air India,Delhi,Cochin,Delhi → Cochin,1,27430,1215,23,Night,3,Weekday,Optimization Route,1354.567901234568,22.5761316872428
IndiGo,Chennai,Kolkata,Chennai → Kolkata,0,3540,145,5,Morning,5,Weekend,Optimization Route,1464.8275862068965,24.413793103448278
Air India,Kolkata,Banglore,Kolkata → Banglore,2,10676,1390,12,Afternoon,5,Weekday,Optimization Route,460.8345323741007,7.680575539568346
Jet Airways,Kolkata,Banglore,Kolkata → Banglore,1,13044,1090,14,Afternoon,6,Weekday,Optimization Route,718.0183486238532,11.96697247706422
Jet Airways,Kolkata,Banglore,Kolkata → Banglore,1,14388,960,20,Evening,5,Weekday,Optimization Route,899.25,14.9875
IndiGo,Banglore,Delhi,Banglore → Delhi,0,3943,170,4,Night,6,Weekday,Optimization Route,1391.6470588235295,23.194117647058825
IndiGo,Chennai,Kolkata,Chennai → Kolkata,0,3597,140,14,Afternoon,6,Weekday,Optimization Route,1541.5714285714287,25.692857142857143
Air India,Banglore,New Delhi,Banglore → New Delhi,1,5932,480,11,Morning,3,Weekday,Optimization Route,741.5,12.358333333333333
Jet Airways,Delhi,Cochin,Delhi → Cochin,1,10262,1015,11,Morning,6,Weekend,Optimization Route,606.6206896551724,10.110344827586207
Vistara,Delhi,Cochin,Delhi → Cochin,0,6216,190,14,Afternoon,5,Weekend,Optimization Route,1962.9473684210527,32.71578947368421
IndiGo,Kolkata,Banglore,Kolkata → Banglore,0,4804,165,20,Evening,6,Weekend,Optimization Route,1746.909090909091,29.115151515151513
Multiple carriers,Delhi,Cochin,Delhi → Cochin,1,14067,840,11,Morning,5,Weekday,Optimization Route,1004.7857142857143,16.74642857142857
Jet Airways,Delhi,Cochin,Delhi → Cochin,2,15129,1430,19,Evening,5,Weekend,Optimization Route,634.7832167832167,10.579720279720279
Jet Airways,Delhi,Cochin,Delhi → Cochin,2,13376,1300,6,Morning,6,Weekday,Optimization Route,617.3538461538461,10.28923076923077
Air India,Delhi,Cochin,Delhi → Cochin,2,10441,1275,22,Night,6,Weekday,Optimization Route,491.3411764705882,8.189019607843138
Jet Airways,Banglore,Delhi,Banglore → Delhi,0,4030,165,6,Morning,5,Weekday,Optimization Route,1465.4545454545455,24.424242424242426
Jet Airways,Delhi,Cochin,Delhi → Cochin,1,17024,650,8,Morning,3,Weekend,Optimization Route,1571.446153846154,26.19076923076923
Multiple carriers,Delhi,Cochin,Delhi → Cochin,1,13017,480,17,Evening,4,Weekday,Premium Route,1627.125,27.11875
GoAir,Kolkata,Banglore,Kolkata → Banglore,1,6686,495,23,Night,6,Weekday,Optimization Route,810.4242424242424,13.507070707070707
IndiGo,Delhi,Cochin,Delhi → Cochin,1,5636,325,2,Night,6,Weekend,Optimization Route,1040.4923076923076,17.341538461538462
IndiGo,Delhi,Cochin,Delhi → Cochin,1,6442,515,7,Morning,6,Weekend,Optimization Route,750.5242718446602,12.50873786407767
Multiple carriers,Delhi,Cochin,Delhi → Cochin,1,9486,710,13,Afternoon,5,Weekday,Optimization Route,801.6338028169014,13.36056338028169
Jet Airways,Kolkata,Banglore,Kolkata → Banglore,1,10844,1655,20,Evening,5,Weekday,Optimization Route,393.1359516616314,6.55226586102719
Jet Airways,Delhi,Cochin,Delhi → Cochin,2,15318,505,20,Evening,6,Weekday,Optimization Route,1819.960396039604,30.332673267326733
Air India,Delhi,Cochin,Delhi → Cochin,1,5117,1255,12,Afternoon,4,Weekday,Discount Route,244.6374501992032,4.077290836653386
IndiGo,Delhi,Cochin,Delhi → Cochin,1,6147,290,15,Afternoon,6,Weekday,Optimization Route,1271.7931034482758,21.19655172413793
Multiple carriers,Delhi,Cochin,Delhi → Cochin,1,7005,490,12,Afternoon,6,Weekend,Optimization Route,857.7551020408163,14.295918367346939
SpiceJet,Kolkata,Banglore,Kolkata → Banglore,0,3873,140,22,Night,4,Weekday,Optimization Route,1659.857142857143,27.664285714285715
Jet Airways,Delhi,Cochin,Delhi → Cochin,2,9270,1465,18,Evening,3,Weekday,Optimization Route,379.65870307167233,6.32764505119454
GoAir,Banglore,Delhi,Banglore → Delhi,0,3898,170,11,Morning,6,Weekday,Optimization Route,1375.764705882353,22.929411764705883
Jet Airways,Kolkata,Banglore,Kolkata → Banglore,1,14781,740,8,Morning,5,Weekend,Optimization Route,1198.4594594594594,19.974324324324325
Jet Airways,Kolkata,Banglore,Kolkata → Banglore,1,8586,735,20,Evening,5,Weekday,Optimization Route,700.8979591836735,11.681632653061225
Air India,Kolkata,Banglore,Kolkata → Banglore,2,10697,1415,8,Morning,5,Weekday,Optimization Route,453.58303886925796,7.559717314487632
Jet Airways,Delhi,Cochin,Delhi → Cochin,2,14300,995,20,Evening,6,Weekday,Optimization Route,862.3115577889447,14.371859296482413
IndiGo,Banglore,New Delhi,Banglore → New Delhi,0,8855,170,18,Evening,3,Weekend,Optimization Route,3125.294117647059,52.088235294117645
Jet Airways,Kolkata,Banglore,Kolkata → Banglore,1,10844,1545,16,Afternoon,5,Weekend,Optimization Route,421.126213592233,7.0187702265372165
Jet Airways,Delhi,Cochin,Delhi → Cochin,1,17024,1570,2,Night,3,Weekday,Optimization Route,650.5987261146497,10.843312101910827
Jet Airways,Kolkata,Banglore,Kolkata → Banglore,1,9314,1730,9,Morning,5,Weekday,Optimization Route,323.02890173410407,5.383815028901734
IndiGo,Banglore,New Delhi,Banglore → New Delhi,0,4777,165,0,Night,3,Weekend,Optimization Route,1737.090909090909,28.951515151515153
Air India,Kolkata,Banglore,Kolkata → Banglore,1,7662,1515,12,Afternoon,6,Weekend,Optimization Route,303.44554455445547,5.0574257425742575
IndiGo,Delhi,Cochin,Delhi → Cochin,1,6442,560,6,Morning,5,Weekday,Optimization Route,690.2142857142857,11.503571428571428
SpiceJet,Delhi,Cochin,Delhi → Cochin,1,5264,270,8,Morning,6,Weekday,Optimization Route,1169.7777777777778,19.496296296296297
Jet Airways,Delhi,Cochin,Delhi → Cochin,1,12898,925,13,Afternoon,5,Weekday,Optimization Route,836.627027027027,13.943783783783784
Air India,Mumbai,Hyderabad,Mumbai → Hyderabad,0,6092,90,13,Afternoon,3,Weekend,Optimization Route,4061.3333333333335,67.68888888888888
SpiceJet,Banglore,Delhi,Banglore → Delhi,0,3311,160,5,Morning,5,Weekday,Optimization Route,1241.625,20.69375
Jet Airways,Delhi,Cochin,Delhi → Cochin,1,6540,550,19,Evening,3,Weekday,Optimization Route,713.4545454545455,11.89090909090909
IndiGo,Banglore,Delhi,Banglore → Delhi,0,3419,165,1,Night,5,Weekday,Optimization Route,1243.2727272727273,20.721212121212123
Jet Airways,Delhi,Cochin,Delhi → Cochin,1,5177,1355,14,Afternoon,4,Weekday,Discount Route,229.239852398524,3.8206642066420664
Air India,Delhi,Cochin,Delhi → Cochin,0,8246,185,18,Evening,4,Weekday,Optimization Route,2674.3783783783783,44.57297297297297
Jet Airways,Kolkata,Banglore,Kolkata → Banglore,1,14676,690,9,Morning,6,Weekend,Optimization Route,1276.1739130434783,21.269565217391303
Multiple carriers,Delhi,Cochin,Delhi → Cochin,1,13587,570,11,Morning,6,Weekday,Optimization Route,1430.2105263157894,23.83684210526316
Jet Airways,Kolkata,Banglore,Kolkata → Banglore,1,9663,730,21,Night,5,Weekday,Optimization Route,794.2191780821918,13.236986301369862
Jet Airways,Kolkata,Banglore,Kolkata → Banglore,1,13044,1055,16,Afternoon,6,Weekday,Optimization Route,741.8388625592418,12.363981042654029
IndiGo,Delhi,Cochin,Delhi → Cochin,1,5073,305,20,Evening,4,Weekday,Optimization Route,997.9672131147541,16.632786885245903
Vistara,Kolkata,Banglore,Kolkata → Banglore,1,9345,1550,17,Evening,5,Weekday,Optimization Route,361.741935483871,6.029032258064516
Jet Airways,Kolkata,Banglore,Kolkata → Banglore,1,9663,1200,14,Afternoon,5,Weekday,Optimization Route,483.15,8.0525
Multiple carriers,Delhi,Cochin,Delhi → Cochin,1,14277,780,8,Morning,5,Weekday,Optimization Route,1098.2307692307693,18.303846153846155
Jet Airways,Delhi,Cochin,Delhi → Cochin,1,10262,1105,10,Morning,6,Weekend,Optimization Route,557.2126696832579,9.2868778280543
Jet Airways,Mumbai,Hyderabad,Mumbai → Hyderabad,0,5678,90,19,Evening,3,Weekday,Optimization Route,3785.3333333333335,63.08888888888889
Multiple carriers,Delhi,Cochin,Delhi → Cochin,1,13727,570,16,Afternoon,5,Weekday,Optimization Route,1444.9473684210527,24.082456140350878
Jet Airways,Kolkata,Banglore,Kolkata → Banglore,1,9663,960,20,Evening,5,Weekday,Optimization Route,603.9375,10.065625
IndiGo,Chennai,Kolkata,Chennai → Kolkata,0,3858,140,14,Afternoon,5,Weekend,Optimization Route,1653.4285714285716,27.557142857142857
SpiceJet,Delhi,Cochin,Delhi → Cochin,1,4812,270,8,Morning,6,Weekday,Optimization Route,1069.3333333333333,17.822222222222223
IndiGo,Delhi,Cochin,Delhi → Cochin,1,5775,345,21,Night,6,Weekday,Optimization Route,1004.3478260869565,16.73913043478261
Jet Airways,Kolkata,Banglore,Kolkata → Banglore,1,10539,1450,9,Morning,6,Weekday,Optimization Route,436.09655172413795,7.268275862068966
IndiGo,Kolkata,Banglore,Kolkata → Banglore,0,4804,155,15,Afternoon,6,Weekday,Optimization Route,1859.6129032258066,30.993548387096773
Air Asia,Banglore,Delhi,Banglore → Delhi,0,3383,165,11,Morning,6,Weekday,Optimization Route,1230.1818181818182,20.503030303030304
IndiGo,Banglore,New Delhi,Banglore → New Delhi,1,8738,295,12,Afternoon,3,Weekend,Optimization Route,1777.2203389830509,29.620338983050846
Air India,Delhi,Cochin,Delhi → Cochin,1,7165,1535,5,Morning,3,Weekday,Optimization Route,280.06514657980455,4.6677524429967425
IndiGo,Delhi,Cochin,Delhi → Cochin,1,6412,380,16,Afternoon,6,Weekday,Optimization Route,1012.421052631579,16.873684210526317
Jet Airways,Banglore,Delhi,Banglore → Delhi,0,8016,185,18,Evening,6,Weekday,Optimization Route,2599.7837837837837,43.32972972972973
Jet Airways,Banglore,New Delhi,Banglore → New Delhi,1,11087,1120,20,Evening,3,Weekday,Optimization Route,593.9464285714286,9.899107142857142
SpiceJet,Chennai,Kolkata,Chennai → Kolkata,0,3543,135,9,Morning,6,Weekday,Optimization Route,1574.6666666666667,26.244444444444444
Jet Airways,Kolkata,Banglore,Kolkata → Banglore,1,12471,730,16,Afternoon,6,Weekday,Optimization Route,1025.013698630137,17.083561643835615
